datetime,pH,temperature,salinity,turbidity,isRaining
2022-01-01 00:00:00,7.35,3.2,36.5,3.1,0
2022-01-01 01:00:00,7.33,2.1,35.6,3.2,0
2022-01-01 02:00:00,6.92,3.9,34.6,3.0,0
2022-01-01 03:00:00,7.17,6.1,33.5,2.6,0
2022-01-01 04:00:00,7.57,3.4,33.7,4.3,0
2022-01-01 05:00:00,7.22,4.1,33.6,1.8,0
2022-01-01 06:00:00,7.31,8.4,35.3,4.0,0
2022-01-01 07:00:00,7.4,7.5,33.2,2.8,0
2022-01-01 08:00:00,7.21,5.9,32.9,2.5,0
2022-01-01 09:00:00,7.43,8.5,33.2,2.3,0
2022-01-01 10:00:00,7.25,6.8,33.7,2.9,0
2022-01-01 11:00:00,7.34,7.2,33.4,6.6,0
2022-01-01 12:00:00,7.53,8.8,36.2,4.6,0
2022-01-01 13:00:00,7.41,4.2,33.0,3.5,0
2022-01-01 14:00:00,7.82,4.5,34.3,3.6,0
2022-01-01 15:00:00,7.61,6.4,35.6,1.7,0
2022-01-01 16:00:00,7.56,4.6,35.9,2.0,0
2022-01-01 17:00:00,7.52,6.6,34.8,6.9,0
2022-01-01 18:00:00,6.96,3.5,35.1,3.9,0
2022-01-01 19:00:00,7.3,1.9,35.6,4.9,0
2022-01-01 20:00:00,7.36,6.7,34.4,3.8,0
2022-01-01 21:00:00,7.03,2.6,34.9,3.4,0
2022-01-01 22:00:00,7.31,2.8,33.7,4.3,0
2022-01-01 23:00:00,7.32,-0.6,35.3,6.6,0
2022-01-02 00:00:00,7.08,1.4,35.0,3.4,0
2022-01-02 01:00:00,7.45,2.7,35.5,4.9,0
2022-01-02 02:00:00,7.42,0.4,32.0,3.0,0
2022-01-02 03:00:00,7.35,3.9,33.7,5.5,0
2022-01-02 04:00:00,7.14,2.7,33.8,6.6,0
2022-01-02 05:00:00,7.27,3.9,32.9,2.1,0
2022-01-02 06:00:00,7.41,4.1,34.2,2.7,0
2022-01-02 07:00:00,7.61,9.9,33.4,5.9,0
2022-01-02 08:00:00,7.47,6.7,35.9,4.1,0
2022-01-02 09:00:00,7.56,5.2,34.7,3.7,0
2022-01-02 10:00:00,7.4,9.7,35.7,2.7,0
2022-01-02 11:00:00,7.86,5.7,35.1,3.3,0
2022-01-02 12:00:00,7.41,8.7,33.9,2.1,0
2022-01-02 13:00:00,7.53,4.0,33.7,2.4,0
2022-01-02 14:00:00,7.73,5.2,33.4,5.3,0
2022-01-02 15:00:00,7.37,7.7,35.4,2.7,0
2022-01-02 16:00:00,7.42,8.4,33.5,5.0,0
2022-01-02 17:00:00,7.33,6.4,34.8,2.3,0
2022-01-02 18:00:00,7.22,5.0,33.5,3.2,0
2022-01-02 19:00:00,7.12,4.0,35.0,4.4,0
2022-01-02 20:00:00,7.48,0.9,32.6,2.9,0
2022-01-02 21:00:00,7.2,1.9,33.2,4.6,0
2022-01-02 22:00:00,7.11,2.0,33.7,5.5,0
2022-01-02 23:00:00,6.96,4.4,35.0,5.0,0
2022-01-03 00:00:00,7.1,3.0,34.6,3.3,0
2022-01-03 01:00:00,7.17,-1.3,33.9,4.1,0
2022-01-03 02:00:00,7.31,3.3,35.5,5.0,0
2022-01-03 03:00:00,7.44,2.5,35.9,3.3,0
2022-01-03 04:00:00,7.37,2.5,33.3,3.2,0
2022-01-03 05:00:00,7.36,5.9,36.5,3.1,0
2022-01-03 06:00:00,7.44,7.5,31.6,2.8,0
2022-01-03 07:00:00,7.11,7.8,34.1,3.0,0
2022-01-03 08:00:00,7.47,5.3,33.4,3.9,0
2022-01-03 09:00:00,7.68,6.7,34.1,4.6,0
2022-01-03 10:00:00,7.82,8.6,33.5,3.1,0
2022-01-03 11:00:00,7.74,10.4,37.3,2.8,0
2022-01-03 12:00:00,7.46,7.3,31.7,4.9,0
2022-01-03 13:00:00,7.72,7.8,34.1,3.5,0
2022-01-03 14:00:00,7.5,5.6,34.2,4.6,0
2022-01-03 15:00:00,7.81,5.1,31.9,3.0,0
2022-01-03 16:00:00,7.2,8.6,35.5,4.1,0
2022-01-03 17:00:00,7.27,8.7,33.3,4.6,0
2022-01-03 18:00:00,7.57,5.1,34.2,2.9,0
2022-01-03 19:00:00,7.28,6.6,36.0,3.6,0
2022-01-03 20:00:00,7.43,4.5,34.9,2.5,0
2022-01-03 21:00:00,7.37,2.0,34.2,4.3,0
2022-01-03 22:00:00,7.02,3.4,33.8,4.1,0
2022-01-03 23:00:00,7.18,5.5,34.5,2.5,0
2022-01-04 00:00:00,7.14,2.5,34.3,3.0,0
2022-01-04 01:00:00,6.8,5.6,33.3,1.9,0
2022-01-04 02:00:00,7.25,-2.1,33.7,3.0,0
